Unnamed: 0,Clothing ID,Age,Title,Review Text_x,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Sentiment,Review Text_y,Original Rating,Predicted Sentiment,Predicted Sentiment Label
0,767,33,,Absolutely wonderful silky sexy comfortable,4,1,0,Initmates,Intimate,Intimates,1,Absolutely wonderful silky sexy comfortable,4,1,Positive
1,1080,34,,Love dress sooo pretty happened find store im glad bc never would ordered online bc petite bought petite love length hit little knee would definitely true midi someone truly petite,5,1,4,General,Dresses,Dresses,1,Love dress sooo pretty happened find store im glad bc never would ordered online bc petite bought petite love length hit little knee would definitely true midi someone truly petite,5,1,Positive
2,1077,60,Some major design flaws,I high hope dress really wanted work initially ordered petite small usual size found outrageously small small fact could zip reordered petite medium ok overall top half comfortable fit nicely bottom half tight layer several somewhat cheap net layer imo major design flaw net layer sewn directly zipper c,3,0,0,General,Dresses,Dresses,0,I high hope dress really wanted work initially ordered petite small usual size found outrageously small small fact could zip reordered petite medium ok overall top half comfortable fit nicely bottom half tight layer several somewhat cheap net layer imo major design flaw net layer sewn directly zipper c,3,-1,Negative
3,1049,50,My favorite buy!,I love love love jumpsuit fun flirty fabulous every time wear get nothing great compliment,5,1,0,General Petite,Bottoms,Pants,1,I love love love jumpsuit fun flirty fabulous every time wear get nothing great compliment,5,1,Positive
4,847,47,Flattering shirt,This shirt flattering due adjustable front tie perfect length wear legging sleeveless pair well cardigan love shirt,5,1,6,General,Tops,Blouses,1,This shirt flattering due adjustable front tie perfect length wear legging sleeveless pair well cardigan love shirt,5,1,Positive
5,1080,49,Not for the very petite,I love tracy reese dress one petite foot tall usually wear p brand dress pretty package lot dress skirt long full overwhelmed small frame stranger alteration shortening narrowing skirt would take away embellishment garment love color idea style work returned dress,2,0,4,General,Dresses,Dresses,-1,I love tracy reese dress one petite foot tall usually wear p brand dress pretty package lot dress skirt long full overwhelmed small frame stranger alteration shortening narrowing skirt would take away embellishment garment love color idea style work returned dress,2,1,Positive
6,858,39,Cagrcoal shimmer fun,I aded basket hte last mintue see would look like person store pick went teh darkler color pale hte color really gorgeous turn mathced everythiing trying prefectly little baggy hte x hte msallet size bummer petite decided jkeep though said matvehd everything ejans pant skirt waas trying kept oops,5,1,1,General Petite,Tops,Knits,1,I aded basket hte last mintue see would look like person store pick went teh darkler color pale hte color really gorgeous turn mathced everythiing trying prefectly little baggy hte x hte msallet size bummer petite decided jkeep though said matvehd everything ejans pant skirt waas trying kept oops,5,1,Positive
7,858,39,"Shimmer, surprisingly goes with lots",I ordered carbon store pick ton stuff always try used top pair skirt pant everything went color really nice charcoal shimmer went well pencil skirt flare pant etc compaint bit big sleeve long doesnt go petite also bit loose xx kept wil ldecide later since light color already sold hte smallest size,4,1,4,General Petite,Tops,Knits,1,I ordered carbon store pick ton stuff always try used top pair skirt pant everything went color really nice charcoal shimmer went well pencil skirt flare pant etc compaint bit big sleeve long doesnt go petite also bit loose xx kept wil ldecide later since light color already sold hte smallest size,4,1,Positive
8,1077,24,Flattering,I love dress usually get x run little snug bust ordered size flattering feminine usual retailer flair style,5,1,0,General,Dresses,Dresses,1,I love dress usually get x run little snug bust ordered size flattering feminine usual retailer flair style,5,1,Positive
9,1077,34,Such a fun dress!,Im lb ordered petite make sure length wasnt long typically wear x regular retailer dress youre le busty b cup smaller petite fit perfectly snug tight love could dress party work love tulle longer fabric underneath,5,1,0,General,Dresses,Dresses,1,Im lb ordered petite make sure length wasnt long typically wear x regular retailer dress youre le busty b cup smaller petite fit perfectly snug tight love could dress party work love tulle longer fabric underneath,5,1,Positive
